Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Domain-Driven Service Design","Service-Oriented Computing","","","","10.1007/978-3-030-64846-6_11","Stefan KapfererOlaf Zimmermann","2020","http://link.springer.com/chapter/10.1007/978-3-030-64846-6_11","Chapter"
"Analysis of a many-objective optimization approach for identifying microservices from legacy systems","Empirical Software Engineering","","27","2","10.1007/s10664-021-10049-7","Wesley K. G. AssunçãoThelma Elita ColanziLuiz CarvalhoAlessandro GarciaJuliana Alves PereiraMaria Julia de LimaCarlos Lucena","2022","http://link.springer.com/article/10.1007/s10664-021-10049-7","Article"
"Innovative Computing","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-16-4258-6","Prof. Jason C. HungDr. Jia-Wei ChangDr. Yan PeiProf. Wei-Chen Wu","2022","http://link.springer.com/book/10.1007/978-981-16-4258-6","Book"
"Predictive Maintenance in Smart Factories","Information Fusion and Data Science","","","","10.1007/978-981-16-2940-2","Prof. Tania CerquitelliNikolaos NikolakisDr. Niamh O’MahonyProf. Enrico MaciiDr. Massimo IppolitoDr. Sotirios Makris","2021","http://link.springer.com/book/10.1007/978-981-16-2940-2","Book"
"Linking Theory and Practice of Digital Libraries","Lecture Notes in Computer Science","","","","10.1007/978-3-031-16802-4","Gianmaria SilvelloOscar CorchoPaolo ManghiGiorgio Maria Di NunzioKoraljka GolubNicola FerroAntonella Poggi","2022","http://link.springer.com/book/10.1007/978-3-031-16802-4","Book"
"Big Data and Artificial Intelligence in Digital Finance","","","","","10.1007/978-3-030-94590-9","Prof. John SoldatosDr. Dimosthenis Kyriazis","2022","http://link.springer.com/book/10.1007/978-3-030-94590-9","Book"
"Innovation Through Information Systems","Lecture Notes in Information Systems and Organisation","","","","10.1007/978-3-030-86800-0","Prof. Dr. Frederik AhlemannProf. Dr. Reinhard SchütteProf. Dr. Stefan Stieglitz","2021","http://link.springer.com/book/10.1007/978-3-030-86800-0","Book"
"Advances in Data Science and Management","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-981-16-5685-9","Prof. Dr. Samarjeet BorahDr. Sambit Kumar MishraDr. Brojo Kishore MishraDr. Valentina Emilia BalasDr. Zdzislaw Polkowski","2022","http://link.springer.com/book/10.1007/978-981-16-5685-9","Book"
"Event- and Data-Centric Enterprise Risk-Adjusted Return Management","","","","","10.1007/978-1-4842-7440-8","Kannan Subramanian RDr. Sudheesh Kumar Kattumannil","2022","http://link.springer.com/book/10.1007/978-1-4842-7440-8","Book"
"Handbook of Real-Time Computing","","","","","10.1007/978-981-287-251-7","Prof. Dr. Yu-Chu TianAssist. Prof. David Charles Levy","2022","http://link.springer.com/referencework/10.1007/978-981-287-251-7","ReferenceWork"
"Advanced Hybrid Information Processing","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-030-94551-0","Shuai LiuDr. Xuefei Ma","2022","http://link.springer.com/book/10.1007/978-3-030-94551-0","Book"
"Availability and Scalability Optimized Microservice Discovery from Enterprise Systems","On the Move to Meaningful Internet Systems: OTM 2019 Conferences","","","","10.1007/978-3-030-33246-4_31","Adambarage Anuruddha Chathuranga De AlwisAlistair BarrosColin FidgeArtem Polyvyanyy","2019","http://link.springer.com/chapter/10.1007/978-3-030-33246-4_31","Chapter"
"Information Technology and Systems","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-030-68285-9","Prof. Álvaro RochaProf. Carlos FerrásProf. Paulo Carlos López-LópezProf. Teresa Guarda","2021","http://link.springer.com/book/10.1007/978-3-030-68285-9","Book"
"Systems, Software and Services Process Improvement","Communications in Computer and Information Science","","","","10.1007/978-3-319-64218-5","Jakub StolfaSvatopluk StolfaProf. Dr. Rory V. O'ConnorDr. Richard Messnarz","2017","http://link.springer.com/book/10.1007/978-3-319-64218-5","Book"
"Applied Technologies","Communications in Computer and Information Science","","","","10.1007/978-3-031-03884-6","Prof. Miguel Botto-TobarSergio Montes LeónPablo Torres-CarriónProf. Marcelo Zambrano VizueteBenjamin Durakovic","2022","http://link.springer.com/book/10.1007/978-3-031-03884-6","Book"
"Re-architecting OO Software into Microservices","Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-99819-0_5","Anfel SelmadjiAbdelhak-Djamel SeriaiHinde Lilia BouzianeChristophe DonyRahina Oumarou Mahamane","2018","http://link.springer.com/chapter/10.1007/978-3-319-99819-0_5","Chapter"
"Designing Architecture for Container-As-A-Service (CaaS) in Cloud Computing Environment: A Review","Proceedings of 3rd International Conference on Machine Learning, Advances in Computing, Renewable Energy and Communication","","","","10.1007/978-981-19-2828-4_50","Anshita MalviyaRajendra Kumar Dwivedi","2022","http://link.springer.com/chapter/10.1007/978-981-19-2828-4_50","Chapter"
"Deep reinforcement learning-based microservice selection in mobile edge computing","Cluster Computing","","","","10.1007/s10586-022-03661-9","Feiyan GuoBing TangMingdong TangWei Liang","2022","http://link.springer.com/article/10.1007/s10586-022-03661-9","Article"
"Applied Informatics","Communications in Computer and Information Science","","","","10.1007/978-3-030-89654-6","Hector FlorezMa Florencia Pollo-Cattaneo","2021","http://link.springer.com/book/10.1007/978-3-030-89654-6","Book"
"Microservices Identification Through Interface Analysis","Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-67262-5_2","Luciano BaresiMartin GarrigaAlan De Renzis","2017","http://link.springer.com/chapter/10.1007/978-3-319-67262-5_2","Chapter"
"Automated Microservice Code-Smell Detection","Information Science and Applications","","","","10.1007/978-981-33-6385-4_20","Andrew WalkerDipta DasTomas Cerny","2021","http://link.springer.com/chapter/10.1007/978-981-33-6385-4_20","Chapter"
"What are services?","Designing Microservices with Django","","","","10.1007/978-1-4842-5358-8_1","Akos Hochrein","2019","http://link.springer.com/chapter/10.1007/978-1-4842-5358-8_1","Chapter"
"A method for monitoring the coupling evolution of microservice-based architectures","Journal of the Brazilian Computer Society","","27","1","10.1186/s13173-021-00120-y","Daniel R.F. ApolinárioBreno B.N. de França","2021","http://link.springer.com/article/10.1186/s13173-021-00120-y","Article"
"Scheduling Microservice Containers on Large Core Machines Through Placement and Coalescing","Job Scheduling Strategies for Parallel Processing","","","","10.1007/978-3-030-88224-2_5","Vishal RaoVishnu SinghK. S. GouthamBharani Ujjaini KempaiahRuben John MampilliSubramaniam KalamburDinkar Sitaram","2021","http://link.springer.com/chapter/10.1007/978-3-030-88224-2_5","Chapter"
"Industry 4.0 for the Built Environment","Structural Integrity","","","","10.1007/978-3-030-82430-3","Dr. Marzia BolpagniRui GavinaProf. Dr. Diogo Ribeiro","2022","http://link.springer.com/book/10.1007/978-3-030-82430-3","Book"
"Quality of Information and Communications Technology","Communications in Computer and Information Science","","","","10.1007/978-3-030-85347-1","Prof. Ana C. R. PaivaAna Rosa CavalliPaula Ventura MartinsRicardo Pérez-Castillo","2021","http://link.springer.com/book/10.1007/978-3-030-85347-1","Book"
"Progress in Artificial Intelligence","Lecture Notes in Computer Science","","","","10.1007/978-3-031-16474-3","Goreti MarreirosBruno MartinsAna PaivaBernardete RibeiroAlberto Sardinha","2022","http://link.springer.com/book/10.1007/978-3-031-16474-3","Book"
"Microservices: Yesterday, Today, and Tomorrow","Present and Ulterior Software Engineering","","","","10.1007/978-3-319-67425-4_12","Nicola DragoniSaverio GiallorenzoAlberto Lluch LafuenteManuel MazzaraFabrizio MontesiRuslan MustafinLarisa Safina","2017","http://link.springer.com/chapter/10.1007/978-3-319-67425-4_12","Chapter"
"Learn API Testing","","","","","10.1007/978-1-4842-8142-0","Jagdeep Jain","2022","http://link.springer.com/book/10.1007/978-1-4842-8142-0","Book"
"Advances in Tourism, Technology and Systems","Smart Innovation, Systems and Technologies","","","","10.1007/978-981-19-1040-1","António AbreuDr. Dália LiberatoDr. Juan Carlos Garcia Ojeda","2022","http://link.springer.com/book/10.1007/978-981-19-1040-1","Book"
"Information Technology in Disaster Risk Reduction","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-81469-4","Prof. Dr. Yuko MurayamaProf. Dr. Dimiter VelevPlamena Zlateva","2021","http://link.springer.com/book/10.1007/978-3-030-81469-4","Book"
"Proceedings of the International Scientific Conference “Smart Nations: Global Trends In The Digital Economy”","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-94873-3","Prof. Svetlana Igorevna AshmarinaDr. Valentina Vyacheslavovna MantulenkoDr. Marek Vochozka","2022","http://link.springer.com/book/10.1007/978-3-030-94873-3","Book"
"Towards an Agile Quality Management Model for Microservice Architecture in FinTech","Proceedings of the Future Technologies Conference (FTC) 2021, Volume 3","","","","10.1007/978-3-030-89912-7_36","Vu H. A. Nguyen","2022","http://link.springer.com/chapter/10.1007/978-3-030-89912-7_36","Chapter"
"Digitalization Cases","Management for Professionals","","","","10.1007/978-3-319-95273-4","Prof. Dr. Nils UrbachProf. Dr. Maximilian Röglinger","2019","http://link.springer.com/book/10.1007/978-3-319-95273-4","Book"
"Smart Trends in Computing and Communications","Lecture Notes in Networks and Systems","","","","10.1007/978-981-16-4016-2","Prof. Yu-Dong ZhangProf. Tomonobu SenjyuProf. Chakchai So-InDr. Amit Joshi","2022","http://link.springer.com/book/10.1007/978-981-16-4016-2","Book"
"Building orchestrated microservice systems using declarative business processes","Service Oriented Computing and Applications","","14","4","10.1007/s11761-020-00300-2","Davi MonteiroPaulo Henrique M. MaiaLincoln S. RochaNabor C. Mendonça","2020","http://link.springer.com/article/10.1007/s11761-020-00300-2","Article"
"Service Dependency Graph Analysis in Microservice Architecture","Perspectives in Business Informatics Research","","","","10.1007/978-3-030-61140-8_9","Edgars GaidelsMarite Kirikova","2020","http://link.springer.com/chapter/10.1007/978-3-030-61140-8_9","Chapter"
"Microsoft Blazor","","","","","10.1007/978-1-4842-7845-1","Peter Himschoot","2022","http://link.springer.com/book/10.1007/978-1-4842-7845-1","Book"
"Domain-Specific Languages in Practice","","","","","10.1007/978-3-030-73758-0","Dr. Antonio BucchiaronePh.D. Antonio CicchettiDr. Federico CiccozziProf. Alfonso Pierantonio","2021","http://link.springer.com/book/10.1007/978-3-030-73758-0","Book"
"Advances in Micro-Electronics, Embedded Systems and IoT","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-16-8550-7","Dr. V. V. S. S. S. ChakravarthyDr. Wendy Flores-FuentesDr. Vikrant BhatejaDr. B.N. Biswal","2022","http://link.springer.com/book/10.1007/978-981-16-8550-7","Book"
"Applying Model-Driven Engineering to Stimulate the Adoption of DevOps Processes in Small and Medium-Sized Development Organizations","SN Computer Science","","2","6","10.1007/s42979-021-00825-z","Jonas SorgallaPhilip WizentyFlorian RademacherSabine SachwehAlbert Zündorf","2021","http://link.springer.com/article/10.1007/s42979-021-00825-z","Article"
"Introduction to Microservices and AKS","Azure Kubernetes Services with Microservices","","","","10.1007/978-1-4842-7809-3_1","Kasam Ahmed ShaikhShailesh S. Agaskar","2022","http://link.springer.com/chapter/10.1007/978-1-4842-7809-3_1","Chapter"
"Kubernetes Application Developer","","","","","10.1007/978-1-4842-8032-4","Prateek Khushalani","2022","http://link.springer.com/book/10.1007/978-1-4842-8032-4","Book"
"The 8th International Conference on Advanced Machine Learning and Technologies and Applications (AMLTA2022)","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-3-031-03918-8","Prof. Aboul Ella HassanienProf. Rawya Y. RizkVáclav SnášelProf. Rehab F. Abdel-Kader","2022","http://link.springer.com/book/10.1007/978-3-031-03918-8","Book"
"Systems, Software and Services Process Improvement","Communications in Computer and Information Science","","","","10.1007/978-3-030-56441-4","Murat YilmazProf. Dr. Jörg NiemannPaul ClarkeDr. Richard Messnarz","2020","http://link.springer.com/book/10.1007/978-3-030-56441-4","Book"
"Intelligent Computing","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-80119-9","Prof. Dr. Kohei Arai","2022","http://link.springer.com/book/10.1007/978-3-030-80119-9","Book"
"Microservices: The Evolution and Extinction of Web Services?","Microservices","","","","10.1007/978-3-030-31646-4_1","Luciano BaresiMartin Garriga","2020","http://link.springer.com/chapter/10.1007/978-3-030-31646-4_1","Chapter"
"Design of a public services platform for university management based on microservice architecture","Microsystem Technologies","","27","4","10.1007/s00542-019-04474-4","Liming HuangChenchen ZhangZhihong Zeng","2021","http://link.springer.com/article/10.1007/s00542-019-04474-4","Article"
"Microservice-Based Cloud Application Ported to Unikernels: Performance Comparison of Different Technologies","Information Systems Architecture and Technology: Proceedings of 40th Anniversary International Conference on Information Systems Architecture and Technology – ISAT 2019","","","","10.1007/978-3-030-30440-9_24","Janusz JaworskiWaldemar KarwowskiMarian Rusek","2020","http://link.springer.com/chapter/10.1007/978-3-030-30440-9_24","Chapter"
"Enjoy your observability: an industrial survey of microservice tracing and analysis","Empirical Software Engineering","","27","1","10.1007/s10664-021-10063-9","Bowen LiXin PengQilin XiangHanzhang WangTao XieJun SunXuanzhe Liu","2021","http://link.springer.com/article/10.1007/s10664-021-10063-9","Article"
"Microservices Architecture and Design","Cloud Native Architecture and Design","","","","10.1007/978-1-4842-7226-8_5","Shivakumar R Goniwada","2022","http://link.springer.com/chapter/10.1007/978-1-4842-7226-8_5","Chapter"
"Software Engineering Perspectives in Systems","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-09070-7","Prof. Radek Silhavy","2022","http://link.springer.com/book/10.1007/978-3-031-09070-7","Book"
"Building Microservices Architecture for Smart Banking","Advances in Intelligent Networking and Collaborative Systems","","","","10.1007/978-3-030-29035-1_52","Aneta Poniszewska-MarańdaPeter VeselyOksana UrikovaIryna Ivanochko","2020","http://link.springer.com/chapter/10.1007/978-3-030-29035-1_52","Chapter"
"New Thinking in GIScience","","","","","10.1007/978-981-19-3816-0","Prof. Bin LiProf. Xun ShiProf. A-Xing ZhuProf. Cuizhen WangProf. Hui Lin","2022","http://link.springer.com/book/10.1007/978-981-19-3816-0","Book"
"LMM: latency-aware micro-service mashup in mobile edge computing environment","Neural Computing and Applications","","32","19","10.1007/s00521-019-04693-w","Ao ZhouShangguang WangShaohua WanLianyong Qi","2020","http://link.springer.com/article/10.1007/s00521-019-04693-w","Article"
"The Semantic Web","Lecture Notes in Computer Science","","","","10.1007/978-3-030-49461-2","Andreas HarthSabrina KirraneAxel-Cyrille Ngonga NgomoHeiko PaulheimAnisa RulaAnna Lisa GentileDr. Peter HaaseMichael Cochez","2020","http://link.springer.com/book/10.1007/978-3-030-49461-2","Book"
"Towards a Taxonomy of Microservices Architectures","Software Engineering and Formal Methods","","","","10.1007/978-3-319-74781-1_15","Martin Garriga","2018","http://link.springer.com/chapter/10.1007/978-3-319-74781-1_15","Chapter"
"MORe: A Micro-service Oriented Aggregator","Metadata and Semantics Research","","","","10.1007/978-3-319-49157-8_2","Dimitris GavrilisVangelis NomikosKonstantinos KravvaritisStavros AngelisChristos PapatheodorouPanos Constantopoulos","2016","http://link.springer.com/chapter/10.1007/978-3-319-49157-8_2","Chapter"
"Sensing Technology","Lecture Notes in Electrical Engineering","","","","10.1007/978-3-030-98886-9","Prof. Nagender Kumar SuryadevaraProf. Boby GeorgeDr. Krishanthi P. JayasunderaDr. Joyanta Kumar RoyProf. Subhas Chandra Mukhopadhyay","2022","http://link.springer.com/book/10.1007/978-3-030-98886-9","Book"
"Innovations in Electrical and Electronic Engineering","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-1677-9","Prof. Saad MekhilefDr. Rabindra Nath ShawProf. Pierluigi Siano","2022","http://link.springer.com/book/10.1007/978-981-19-1677-9","Book"
"Introducing .NET 6","","","","","10.1007/978-1-4842-7319-7","Nico Vermeir","2022","http://link.springer.com/book/10.1007/978-1-4842-7319-7","Book"
"Enterprise Information Systems","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-08965-7","Prof. Dr. Joaquim FilipeMichał ŚmiałekAlexander BrodskySlimane Hammoudi","2022","http://link.springer.com/book/10.1007/978-3-031-08965-7","Book"
"Size Matters: Microservices Research and Applications","Microservices","","","","10.1007/978-3-030-31646-4_2","Manuel MazzaraAntonio BucchiaroneNicola DragoniVictor Rivera","2020","http://link.springer.com/chapter/10.1007/978-3-030-31646-4_2","Chapter"
"Kubernetes Native Development","","","","","10.1007/978-1-4842-7942-7","Benjamin SchmelingMaximilian Dargatz","2022","http://link.springer.com/book/10.1007/978-1-4842-7942-7","Book"
"Proceedings of International Conference on Recent Trends in Computing","Lecture Notes in Networks and Systems","","","","10.1007/978-981-16-7118-0","Dr. Rajendra Prasad MahapatraDr. Sateesh Kumar PeddojuDr. Sudip RoyDr. Pritee ParwekarDr. Lavika Goel","2022","http://link.springer.com/book/10.1007/978-981-16-7118-0","Book"
"You Are Not Netflix","Microservices","","","","10.1007/978-3-030-31646-4_13","Jakša Vučković","2020","http://link.springer.com/chapter/10.1007/978-3-030-31646-4_13","Chapter"
"The CISO’s Next Frontier","","","","","10.1007/978-3-030-75354-2","Raj Badhwar","2021","http://link.springer.com/book/10.1007/978-3-030-75354-2","Book"
"Innovations in Smart Cities Applications Volume 5","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-94191-8","Prof. Dr. Mohamed Ben AhmedProf. Anouar Abdelhakim BoudhirProf. Dr. İsmail Rakıp KarașProf. Dr. Vipul JainProf. Dr. Sehl Mellouli","2022","http://link.springer.com/book/10.1007/978-3-030-94191-8","Book"
"Innovations in Bio-Inspired Computing and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-96299-9","Dr. Ajith AbrahamDr. Ana Maria MadureiraDr. Arturas KaklauskasDr. Niketa GandhiDr. Anu BajajDr. Azah Kamilah MudaDr. Dalia KriksciunieneDr. João Carlos Ferreira","2022","http://link.springer.com/book/10.1007/978-3-030-96299-9","Book"
"Handbook of e-Tourism","","","","","10.1007/978-3-030-48652-5","Zheng XiangMatthias FuchsUlrike GretzelWolfram Höpken","2022","http://link.springer.com/referencework/10.1007/978-3-030-48652-5","ReferenceWork"
"MICROLYZE: A Framework for Recovering the Software Architecture in Microservice-Based Environments","Information Systems in the Big Data Era","","","","10.1007/978-3-319-92901-9_14","Martin KleehausÖmer UludağPatrick SchäferFlorian Matthes","2018","http://link.springer.com/chapter/10.1007/978-3-319-92901-9_14","Chapter"
"Advances in Production Research","","","","","10.1007/978-3-030-03451-1","Prof. Dr. Robert SchmittProf. Dr. Günther Schuh","2019","http://link.springer.com/book/10.1007/978-3-030-03451-1","Book"
"Mathematical Modeling and Supercomputer Technologies","Communications in Computer and Information Science","","","","10.1007/978-3-030-78759-2","Dmitry BalandinProf. Konstantin BarkalovVictor GergelIosif Meyerov","2021","http://link.springer.com/book/10.1007/978-3-030-78759-2","Book"
"A Microservice-Based Health Information System for Student-Run Clinics","Computational Science and Its Applications – ICCSA 2019","","","","10.1007/978-3-030-24308-1_1","Itamir de Morais Barroca FilhoSilvio Costa SampaioGibeon Soares Aquino JuniorRafael Fernandes de QueirozDannylo Johnathan Bernardino EgidioRamon Santos MalaquiasLarissa Gilliane Melo de Moura","2019","http://link.springer.com/chapter/10.1007/978-3-030-24308-1_1","Chapter"
"SPReaD: service-oriented process for reengineering and DevOps","Service Oriented Computing and Applications","","16","1","10.1007/s11761-021-00329-x","Carlos Eduardo da SilvaYan de Lima JustinoEiji Adachi","2022","http://link.springer.com/article/10.1007/s11761-021-00329-x","Article"
"Design and Implementation of a Remote Care Application Based on Microservice Architecture","Software Technologies: Applications and Foundations","","","","10.1007/978-3-030-04771-9_41","Philip Nils WizentyFlorian RademacherJonas SorgallaSabine Sachweh","2018","http://link.springer.com/chapter/10.1007/978-3-030-04771-9_41","Chapter"
"The Semantic Web – ISWC 2021","Lecture Notes in Computer Science","","","","10.1007/978-3-030-88361-4","Prof. Dr. Andreas HothoAssoc. Prof. Eva BlomqvistStefan DietzeAchille FokoueYing DingPayam BarnaghiArmin HallerDr. Mauro DragoniHarith Alani","2021","http://link.springer.com/book/10.1007/978-3-030-88361-4","Book"
"Gerontechnology","Communications in Computer and Information Science","","","","10.1007/978-3-030-41494-8","José García-AlonsoProf. Dr. César Fonseca","2020","http://link.springer.com/book/10.1007/978-3-030-41494-8","Book"
"Designing Microservices","Microservices for the Enterprise","","","","10.1007/978-1-4842-3858-5_2","Kasun IndrasiriPrabath Siriwardena","2018","http://link.springer.com/chapter/10.1007/978-1-4842-3858-5_2","Chapter"
"Enterprise Information Systems","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-75418-1","Prof. Dr. Joaquim FilipeMichał ŚmiałekAlexander BrodskySlimane Hammoudi","2021","http://link.springer.com/book/10.1007/978-3-030-75418-1","Book"
"EPMA: Elastic Platform for Microservices-based Applications: Towards Optimal Resource Elasticity","Journal of Grid Computing","","20","1","10.1007/s10723-021-09597-5","Mohamed Hedi FouratiSoumaya MarzoukMohamed Jmaiel","2022","http://link.springer.com/article/10.1007/s10723-021-09597-5","Article"
"Business Process Management Workshops","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-37453-2","Dr. Chiara Di FrancescomarinoRemco DijkmanUwe Zdun","2019","http://link.springer.com/book/10.1007/978-3-030-37453-2","Book"
"14th International Conference on Computational Intelligence in Security for Information Systems and 12th International Conference on European Transnational Educational (CISIS 2021 and ICEUTE 2021)","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-030-87872-6","Juan José Gude PregoProf. José Gaviria de la PuertaAssist. Prof. Pablo García BringasHéctor QuintiánDr. Emilio Corchado","2022","http://link.springer.com/book/10.1007/978-3-030-87872-6","Book"
"Case-Based Reasoning Research and Development","Lecture Notes in Computer Science","","","","10.1007/978-3-031-14923-8","Mark T. KeaneNirmalie Wiratunga","2022","http://link.springer.com/book/10.1007/978-3-031-14923-8","Book"
"Deployment Management and Topology Discovery of Microservice Applications in the Multicloud Environment","Journal of Grid Computing","","19","1","10.1007/s10723-021-09539-1","Hao WeiJoaquin Salvachua RodriguezOctavio Nieto-Taladriz Garcia","2021","http://link.springer.com/article/10.1007/s10723-021-09539-1","Article"
"A Digital Twin Platform for Industrie 4.0","Data Spaces","","","","10.1007/978-3-030-98636-0_9","Magnus RedekerJan Nicolas WeskampBastian RösslFlorian Pethig","2022","http://link.springer.com/chapter/10.1007/978-3-030-98636-0_9","Chapter"
"A Modeling Method for Systematic Architecture Reconstruction of Microservice-Based Software Systems","Enterprise, Business-Process and Information Systems Modeling","","","","10.1007/978-3-030-49418-6_21","Florian RademacherSabine SachwehAlbert Zündorf","2020","http://link.springer.com/chapter/10.1007/978-3-030-49418-6_21","Chapter"
"N2SkyC: User Friendly and Efficient Neural Network Simulation Fostering Cloud Containers","Neural Processing Letters","","53","3","10.1007/s11063-019-10140-7","Aliaksandr AdamenkoAndrii FedorenkoBenjamin NussbaumErich Schikuta","2021","http://link.springer.com/article/10.1007/s11063-019-10140-7","Article"
"Fine-Grained Access Control for Microservices","Foundations and Practice of Security","","","","10.1007/978-3-030-18419-3_19","Antonio NehmeVitor JesusKhaled MahbubAli Abdallah","2019","http://link.springer.com/chapter/10.1007/978-3-030-18419-3_19","Chapter"
"Theory and Engineering of Dependable Computer Systems and Networks","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-030-76773-0","Prof. Wojciech ZamojskiDr. Jacek MazurkiewiczDr. Jarosław SugierDr. Tomasz WalkowiakProf. Janusz Kacprzyk","2021","http://link.springer.com/book/10.1007/978-3-030-76773-0","Book"
"Towards Radical Regeneration","","","","","10.1007/978-3-031-13249-0","Christoph GengnagelOlivier BaverelGiovanni BettiMariana PopescuMette Ramsgaard ThomsenJan Wurm","2023","http://link.springer.com/book/10.1007/978-3-031-13249-0","Book"
"Operationalizing Multi-Cloud Environments","EAI/Springer Innovations in Communication and Computing","","","","10.1007/978-3-030-74402-1","Dr. Rajganesh NagarajanDr. Pethuru RajDr. Ramkumar Thirunavukarasu","2022","http://link.springer.com/book/10.1007/978-3-030-74402-1","Book"
"Intelligent Computing","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-80126-7","Prof. Dr. Kohei Arai","2021","http://link.springer.com/book/10.1007/978-3-030-80126-7","Book"
"Advances in Computing, Informatics, Networking and Cybersecurity","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-87049-2","Assoc. Prof. Petros NicopolitidisProf. Sudip MisraProf. Dr. Laurence T. YangDr. Bernard ZeiglerProf. Zhaolng Ning","2022","http://link.springer.com/book/10.1007/978-3-030-87049-2","Book"
"Architecture for an Enterprise IoT","Getting Started with Enterprise Internet of Things: Design Approaches and Software Architecture Models","","","","10.1007/978-3-030-30945-9_5","L. S. JayashreeG. Selvakumar","2020","http://link.springer.com/chapter/10.1007/978-3-030-30945-9_5","Chapter"
"Towards an Extensible Approach for Generative Microservice Development and Deployment Using LEMMA","Software Architecture","","","","10.1007/978-3-031-15116-3_12","Florian RademacherJonas SorgallaPhilip WizentySimon Trebbau","2022","http://link.springer.com/chapter/10.1007/978-3-031-15116-3_12","Chapter"
"Machine Intelligence and Smart Systems","Algorithms for Intelligent Systems","","","","10.1007/978-981-16-9650-3","Dr. Shikha AgrawalDr. Kamlesh Kumar GuptaPh.D. Jonathan H. ChanDr. Jitendra AgrawalManish Gupta","2022","http://link.springer.com/book/10.1007/978-981-16-9650-3","Book"
"Product-Focused Software Process Improvement","Lecture Notes in Computer Science","","","","10.1007/978-3-030-03673-7","Dr. Marco KuhrmannProf. Dr. Kurt SchneiderDietmar PfahlSousuke AmasakiMarcus CiolkowskiProf. Dr. Regina HebigDr. Paolo TellJil KlünderSteffen Küpper","2018","http://link.springer.com/book/10.1007/978-3-030-03673-7","Book"
"Engineering Multi-Agent Systems","Lecture Notes in Computer Science","","","","10.1007/978-3-030-97457-2","Natasha AlechinaMatteo BaldoniBrian Logan","2022","http://link.springer.com/book/10.1007/978-3-030-97457-2","Book"
"Remodularization Analysis for Microservice Discovery Using Syntactic and Semantic Clustering","Advanced Information Systems Engineering","","","","10.1007/978-3-030-49435-3_1","Adambarage Anuruddha Chathuranga De AlwisAlistair BarrosColin FidgeArtem Polyvyanyy","2020","http://link.springer.com/chapter/10.1007/978-3-030-49435-3_1","Chapter"
"Systems, Software and Services Process Improvement","Communications in Computer and Information Science","","","","10.1007/978-3-030-28005-5","Alastair WalkerProf. Rory V. O'ConnorDr. Richard Messnarz","2019","http://link.springer.com/book/10.1007/978-3-030-28005-5","Book"
"MSN: A Playground Framework for Design and Evaluation of MicroServices-Based sdN Controller","Journal of Network and Systems Management","","30","1","10.1007/s10922-021-09631-7","Sisay Tadesse ArzoDomenico ScoteceRiccardo BassoliDaniel BarattiniFabrizio GranelliLuca FoschiniFrank H. P. Fitzek","2021","http://link.springer.com/article/10.1007/s10922-021-09631-7","Article"
"Innovation in Medicine and Healthcare","Smart Innovation, Systems and Technologies","","","","10.1007/978-981-19-3440-7","Prof. Yen-Wei ChenProf. Satoshi TanakaProf. Robert J. HowlettProf. Lakhmi C. Jain","2022","http://link.springer.com/book/10.1007/978-981-19-3440-7","Book"
"EJB, Web Services, and Microservices","Beginning EJB in Java EE 8","","","","10.1007/978-1-4842-3573-7_6","Jonathan WetherbeeMassimo NardoneChirag RathodRaghu Kodali","2018","http://link.springer.com/chapter/10.1007/978-1-4842-3573-7_6","Chapter"
"Modernize Monolithic Applications to Cloud Native","Cloud Native Architecture and Design","","","","10.1007/978-1-4842-7226-8_10","Shivakumar R Goniwada","2022","http://link.springer.com/chapter/10.1007/978-1-4842-7226-8_10","Chapter"
"Artificial Intelligence Applications and Innovations","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-79150-6","Ilias MaglogiannisProf. John MacintyreProf. Lazaros Iliadis","2021","http://link.springer.com/book/10.1007/978-3-030-79150-6","Book"
"Practical Entity Framework Core 6","","","","","10.1007/978-1-4842-7301-2","Brian L. Gorman","2022","http://link.springer.com/book/10.1007/978-1-4842-7301-2","Book"
